#time,accel_x,accel_y,accel_z
152.426012,10510.924376,3552.988522,-71093.662214
152.428622,11251.130318,4737.318029,-70480.785816
152.431233,9326.594869,-31088.649564,-72472.634111
152.433843,11695.253884,-22058.137072,-70940.443115
152.436453,18505.148550,3701.029710,-67876.061123
152.439063,12435.459826,1184.329507,-70787.224015
152.441673,-4885.359217,-3404.947333,-77375.645298
152.444283,18505.148550,-4145.153275,-69408.252119
152.446893,19837.519246,-444.123565,-67722.842023
152.449527,-2220.617826,14359.995275,-72779.072310
152.452162,16136.489536,6365.771101,-68335.718422
152.454796,10658.965565,12139.377449,-72012.976812
152.457430,10658.965565,3701.029710,-71859.757712
152.460064,26055.249158,-9326.594869,-64964.898230
152.462699,-11991.336260,24130.713709,-77069.207099
152.465333,21910.095883,6513.812290,-66343.870127
152.467967,12435.459826,1184.329507,-71400.100414
152.470602,9770.718434,7698.141797,-71706.538613
152.473236,12583.501014,11547.212695,-70480.785816
152.475870,8882.471304,-592.164754,-72472.634111
152.478504,17320.819043,-1924.535449,-67416.403824
152.481139,-148.041188,15988.448347,-73391.948708
152.483773,15248.242405,12139.377449,-70021.128517
152.486407,14211.954086,6513.812290,-70480.785816
152.489041,3997.112087,17616.901420,-73391.948708
152.491676,20281.642811,20281.642811,-66343.870127
152.494310,7698.141797,-6069.688724,-71246.881314
152.496944,8290.306550,-1036.288319,-73238.729609
152.499579,9770.718434,-1184.329507,-70480.785816
152.502213,14063.912898,5625.565159,-68182.499322
152.504847,10362.883188,13619.789333,-72319.415011
152.507481,10510.924376,7254.018232,-69867.909418
152.510116,5773.606348,19985.560434,-72779.072310
152.512750,13471.748144,11399.171507,-70327.566716
152.515384,17764.942608,148.041188,-68488.937521
152.518018,8586.388927,12139.377449,-71246.881314
152.520653,2368.659014,10955.047942,-73851.606007
152.523287,25315.043216,-888.247130,-64045.583633
152.525921,4885.359217,3404.947333,-72472.634111
152.528556,1332.370696,7846.182985,-75537.016103
152.531190,23538.548956,11695.253884,-66343.870127
152.533824,7105.977043,12435.459826,-70787.224015
152.536458,12139.377449,8290.306550,-71706.538613
152.539093,8586.388927,-1924.535449,-74617.701505
152.541727,12583.501014,9474.636058,-68488.937521
152.544361,3849.070898,16136.489536,-70327.566716
152.546995,10214.842000,5329.482782,-71246.881314
152.549630,21910.095883,-11695.253884,-69561.471218
152.552264,10510.924376,-9030.512492,-68642.156621
152.554906,-444.123565,-4293.194464,-72932.291410
152.557549,7846.182985,5181.441594,-72166.195912
152.560191,21614.013506,9770.718434,-68182.499322
152.562834,9178.553681,10807.006753,-69101.813920
152.565476,5181.441594,-5477.523971,-72779.072310
152.568118,9474.636058,-8438.347739,-72932.291410
152.570761,18505.148550,1776.494261,-69714.690318
152.573403,9770.718434,2072.576638,-69408.252119
152.576046,4737.318029,-3849.070898,-70787.224015
152.578688,6513.812290,13767.830521,-73545.167808
152.581330,14804.118840,-1776.494261,-70021.128517
152.583973,11399.171507,-5773.606348,-71859.757712
152.586615,12287.418637,2812.782580,-69561.471218
152.589258,13767.830521,296.082377,-70940.443115
152.591900,4589.276840,-4737.318029,-73545.167808
152.594542,7105.977043,11547.212695,-70940.443115
152.597185,17024.736666,13471.748144,-69867.909418
152.599827,9030.512492,1184.329507,-73238.729609
152.602470,7994.224174,1036.288319,-71400.100414
152.605112,8586.388927,9622.677246,-71246.881314
152.607754,14063.912898,-16432.571912,-69714.690318
152.610397,8438.347739,-11399.171507,-71706.538613
152.613039,14359.995275,14211.954086,-70940.443115
152.615682,9030.512492,-3701.029710,-70021.128517
152.618324,8586.388927,-888.247130,-71859.757712
152.620966,11251.130318,3108.864956,-70327.566716
152.623609,19393.395680,-8734.430116,-68029.280222
152.626251,-5773.606348,-3552.988522,-76456.330700
152.628894,23686.590144,740.205942,-66037.431928
