#time,accel_x,accel_y,accel_z
259.865286,10214.842000,7402.059420,-64658.460031
259.867866,-7254.018232,-1924.535449,-69561.471218
259.870446,-444.123565,5033.400406,-66956.746525
259.873027,13915.871710,6957.935855,-62053.735338
259.875607,13915.871710,2072.576638,-63432.707234
259.878187,2368.659014,-1776.494261,-68642.156621
259.880767,-4885.359217,-2368.659014,-69867.909418
259.883347,5181.441594,4737.318029,-65424.555529
259.885927,18505.148550,3849.070898,-61440.858940
259.888507,14508.036463,1332.370696,-64811.679131
259.891098,-6069.688724,-5625.565159,-70480.785816
259.893688,-6365.771101,3701.029710,-72779.072310
259.896279,-6513.812290,14211.954086,-69867.909418
259.898870,18061.024985,10807.006753,-60981.201641
259.901460,13027.624579,11103.089130,-64045.583633
259.904051,-4737.318029,3108.864956,-69408.252119
259.906642,-5921.647536,-888.247130,-68795.375720
259.909232,4885.359217,3701.029710,-66497.089226
259.911823,-7994.224174,1184.329507,-65730.993728
259.914414,37010.297100,4293.194464,-57763.600549
259.917004,1184.329507,2812.782580,-72472.634111
259.919595,-34049.473332,-11103.089130,-73698.386908
259.922186,17172.777854,-7698.141797,-66650.308326
259.924776,26943.496289,13323.706956,-63739.145434
259.927367,7105.977043,148.041188,-70787.224015
259.929957,-6513.812290,-4737.318029,-64658.460031
259.932548,-14656.077652,2220.617826,-63279.488135
259.935139,-13175.665768,-3997.112087,-66650.308326
259.937729,14063.912898,592.164754,-66497.089226
259.940320,40415.244433,8142.265362,-70021.128517
259.942911,-888.247130,-296.082377,-71093.662214
259.945501,-5921.647536,2960.823768,-64352.021832
259.948092,7402.059420,740.205942,-60981.201641
259.950683,19985.560434,10658.965565,-64811.679131
259.953273,7994.224174,-3849.070898,-70787.224015
259.955864,13323.706956,14508.036463,-58989.353346
259.958454,-5773.606348,-2516.700203,-69867.909418
259.961045,6365.771101,888.247130,-69255.033019
259.963636,33605.349767,2220.617826,-62513.392637
259.966226,-3108.864956,-1332.370696,-69255.033019
259.968817,11991.336260,4589.276840,-62973.049936
259.971408,-13027.624579,-8142.265362,-72932.291410
259.973998,8290.306550,0.000000,-64505.240932
259.976589,43672.150578,16580.613101,-56537.847752
259.979180,-2368.659014,7402.059420,-65884.212828
259.981770,-14952.160028,-888.247130,-70174.347617
259.984361,25463.084405,-3849.070898,-64352.021832
259.986951,22650.301825,12287.418637,-62513.392637
259.989542,-1184.329507,2072.576638,-68948.594820
259.992133,0.000000,-5773.606348,-69561.471218
259.994728,22650.301825,3256.906145,-62819.830836
259.997324,24870.919651,7254.018232,-62053.735338
259.999919,2664.741391,-3404.947333,-64352.021832
260.002515,-3849.070898,-2220.617826,-68642.156621
260.005110,3552.988522,-2664.741391,-67109.965625
260.007706,4293.194464,-1332.370696,-69714.690318
260.010301,31384.731941,1184.329507,-62666.611736
260.012897,14656.077652,8882.471304,-63279.488135
260.015492,592.164754,5033.400406,-70480.785816
260.018088,-5033.400406,2516.700203,-69561.471218
260.020683,3404.947333,-5625.565159,-62360.173537
260.023279,-18653.189738,-3849.070898,-65118.117330
260.025874,8438.347739,1332.370696,-73085.510509
260.028470,68691.111418,9622.677246,-57150.724151
260.031065,-48261.427418,-9030.512492,-70634.004916
260.033661,-30940.608376,2812.782580,-70480.785816
260.036256,45448.644839,6513.812290,-68642.156621
260.038852,53886.992578,-1776.494261,-68795.375720
260.041447,-8586.388927,-3108.864956,-60215.106143
260.044043,-66914.617157,-11547.212695,-64505.240932
260.046638,-21465.972318,-5921.647536,-71859.757712
260.049234,63953.793389,8438.347739,-64505.240932
260.051829,31680.814318,-2664.741391,-67876.061123
260.054425,-22946.384202,-5181.441594,-63739.145434
260.057020,-35825.967593,-6957.935855,-65118.117330
260.059616,9326.594869,4293.194464,-72319.415011
260.062211,46188.850781,19689.478057,-62513.392637
260.064807,-8734.430116,1036.288319,-66956.746525
260.067402,-19541.436869,9326.594869,-63279.488135
260.069998,-1480.411884,6809.894666,-65884.212828
260.072593,30052.361245,3552.988522,-65118.117330
260.075189,-3108.864956,1332.370696,-70634.004916
260.077784,-888.247130,-888.247130,-60674.763442
260.080380,6217.729913,6069.688724,-63279.488135
260.082975,2664.741391,1036.288319,-73698.386908
260.085571,-11843.295072,-11547.212695,-70940.443115
260.088166,-7994.224174,-7550.100608,-66037.431928
260.090762,17320.819043,8290.306550,-62360.173537
260.093357,13915.871710,3552.988522,-62206.954438
260.095953,592.164754,148.041188,-70480.785816
